pair_id,split,label,pair_type,mutation,first_document_id,second_document_id,first_topic,second_topic,first_text,second_text
train-00001,train,0,hard_negative_same_topic,none,doc-0055,doc-0115,travel,travel,Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Eine digitale Karte funktioniert auch ohne aktive Internetverbindung. Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte. Die Gruppe plant genügend Zeit für unerwartete Verzögerungen ein. Reisende prüfen vor der Abfahrt die aktuelle Verbindung.,Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Am Abend besuchen die Gäste ein kleines Konzert im Freien. Die Wanderroute führt durch einen ruhigen Wald und entlang eines Sees. Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Am Bahnhof gibt es Schließfächer für größeres Gepäck. Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen.
train-00002,train,1,near_duplicate,replace_words,doc-0067,doc-0067-variant,science,science,"Ein Kontrollversuch hilft bei der Interpretation des Ergebnisses. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Die Methode wird so beschrieben, dass andere sie nachvollziehen können. Unsicherheit wird zusammen mit dem Messwert angegeben.","Ein Kontrollversuch unterstützt bei der Interpretation des Ergebnisses. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Die Methode wird so beschrieben, dass andere sie nachvollziehen können. Unsicherheit wird zusammen mit dem Messwert angegeben."
train-00003,train,1,near_duplicate,replace_words,doc-0177,doc-0177-variant,science,science,Neue Ergebnisse werden mit früheren Studien verglichen. Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Die Schlussfolgerung darf nicht über die erhobenen Daten hinausgehen. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Offene Daten erleichtern die unabhängige Überprüfung einer Untersuchung. Eine grafische Darstellung macht auffällige Muster sichtbar. Die Forschenden dokumentieren Messwerte und mögliche Fehlerquellen.,Aktuelle Ergebnisse werden mit früheren Studien verglichen. Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Die Schlussfolgerung darf nicht über die erhobenen Daten hinausgehen. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Offene Daten erleichtern die unabhängige Überprüfung einer Untersuchung. Eine grafische Darstellung macht auffällige Muster sichtbar. Die Forschenden dokumentieren Messwerte und mögliche Fehlerquellen.
train-00004,train,1,near_duplicate,replace_words,doc-0075,doc-0075-variant,travel,travel,Am Bahnhof gibt es Schließfächer für größeres Gepäck. Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Eine Reservierung ist in der Hauptsaison oft sinnvoll. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Reisende prüfen vor der Abfahrt die aktuelle Verbindung. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte.,Am Bahnhof gibt es Schließfächer für größeres Gepäck. Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Ein kleiner Rucksack vereinfacht den Wechsel zwischen mehreren Verkehrsmitteln. Eine Reservierung ist in der Hauptsaison oft sinnvoll. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Reisende prüfen vor der Abfahrt die aktuelle Verbindung. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte.
train-00005,train,0,hard_negative_same_topic,none,doc-0099,doc-0169,sports,sports,Ausdauer entsteht durch langfristiges und gleichmäßiges Training. Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Das Team analysiert nach dem Spiel erfolgreiche und schwache Situationen. Die Mannschaft beginnt das Training mit einer gründlichen Aufwärmphase. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern.,Regelmäßiges Üben verbessert Koordination und Reaktionsfähigkeit. Messbare Zwischenziele machen Fortschritte besser sichtbar. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Das Team analysiert nach dem Spiel erfolgreiche und schwache Situationen. Der Trainer passt die Belastung an den aktuellen Leistungsstand an.
train-00006,train,1,near_duplicate,replace_words,doc-0066,doc-0066-variant,work,work,"Komplexe Aufgaben werden in kleine überprüfbare Schritte zerlegt. Die Projektleitung priorisiert Aufgaben nach Nutzen und Aufwand. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Regelmäßige Gespräche verbessern die Zusammenarbeit im Team. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages. Wissen wird in verständlichen Dokumenten für andere festgehalten. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben.","Komplexe Aufgaben werden in kompakte überprüfbare Schritte zerlegt. Die Projektleitung priorisiert Aufgaben nach Verwenden und Aufwand. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Regelmäßige Gespräche verbessern die Zusammenarbeit im Team. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages. Wissen wird in verständlichen Dokumenten für andere festgehalten. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben."
train-00007,train,0,hard_negative_same_topic,none,doc-0169,doc-0029,sports,sports,Regelmäßiges Üben verbessert Koordination und Reaktionsfähigkeit. Messbare Zwischenziele machen Fortschritte besser sichtbar. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Das Team analysiert nach dem Spiel erfolgreiche und schwache Situationen. Der Trainer passt die Belastung an den aktuellen Leistungsstand an.,Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Ausdauer entsteht durch langfristiges und gleichmäßiges Training. Eine ausgewogene Ernährung unterstützt Training und Regeneration. Die Mannschaft beginnt das Training mit einer gründlichen Aufwärmphase. Kurze intensive Einheiten benötigen ausreichende Erholung. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Der Verein bietet Anfängerinnen und Anfängern eigene Trainingszeiten an.
train-00008,train,0,easy_negative_different_topic,none,doc-0080,doc-0003,daily_life,environment,Nach dem Essen wird die Küche gemeinsam aufgeräumt. Eine Einkaufsliste verhindert unnötige spontane Käufe. Ein einfacher Wochenplan verteilt Aufgaben übersichtlich. Die Nachbarn teilen sich einige selten benötigte Werkzeuge. Am Wochenende wird das Fahrrad gründlich gereinigt. Kleine Reparaturen werden möglichst früh erledigt. Am Morgen öffnet die Bäckerei bereits vor sieben Uhr. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Der Bus fährt werktags alle zehn Minuten.,Kleine Veränderungen im Alltag senken den persönlichen Energieverbrauch. Ein sparsamer Umgang mit Wasser schützt lokale Reserven. Bäume senken im Sommer die Temperatur dicht bebauter Straßen. Die Stadt erweitert das Netz sicherer Fahrradwege. Mehrwegverpackungen können den Verbrauch von Kunststoff verringern. Solaranlagen liefern auch an kühlen Tagen elektrische Energie. Öffentliche Verkehrsmittel reduzieren den Verkehr in der Innenstadt. Die Messstation erfasst Luftqualität und Lärm zu verschiedenen Tageszeiten. Regionale Produkte vermeiden lange Transportwege.
train-00009,train,1,near_duplicate,combined_light,doc-0116,doc-0116-variant,work,work,"Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Klare Zuständigkeiten verhindern doppelte Arbeit. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Wissen wird in verständlichen Dokumenten für andere festgehalten. Eine realistische Planung berücksichtigt auch unerwartete Probleme.","Ein Arbeitsplatz unterstützt konzentriertes Arbeiten. Deutliche Zuständigkeiten verhindern doppelte Arbeit. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Wissen wird in verständlichen Dokumenten für andere festgehalten. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Eine realistische Planung berücksichtigt auch unerwartete Probleme."
train-00010,train,1,near_duplicate,add_sentence,doc-0009,doc-0009-variant,sports,sports,Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Kurze intensive Einheiten benötigen ausreichende Erholung. Nach einer Verletzung wird die Belastung langsam wieder erhöht. Ausdauer entsteht durch langfristiges und gleichmäßiges Training. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Eine ausgewogene Ernährung unterstützt Training und Regeneration.,Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Kurze intensive Einheiten benötigen ausreichende Erholung. Die Mannschaft beginnt das Training mit einer gründlichen Aufwärmphase. Nach einer Verletzung wird die Belastung langsam wieder erhöht. Ausdauer entsteht durch langfristiges und gleichmäßiges Training. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Eine ausgewogene Ernährung unterstützt Training und Regeneration.
